,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
136,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-04-02
137,243,430,312,2772,1149,434,2155,66,1987-04-09
138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-04-11
139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-04-18
140,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-04-25
141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-04-27
142,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-05-04
143,363,560,445,3059,1437,534,2365,66,1987-05-11
144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-05-13
145,20000,5974,6105,6710,20000,4968,495,224,1987-05-27
146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-05-29
147,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-06-05
148,385,579,467,3202,1570,581,2875,66,1987-06-12
149,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-06-21
150,467,693,596,3234,1549,598,2495,66,1987-06-28
151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-06-29
152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-07-06
153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-07-07
154,400,592,507,3114,1495,571,2665,66,1987-07-14
155,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-07-23
156,298,451,409,3010,1427,609,2665,66,1987-07-30
157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-08-08
158,342,545,426,2807,1468,626,2665,66,1987-08-15
159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-08-24
160,495,695,618,2649,1303,595,2455,66,1987-08-31
161,423,552,482,2414,1256,534,2955,66,1987-09-16
162,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-09-25
163,448,659,572,2214,1239,547,2455,66,1987-10-02
164,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1987-10-11
165,413,509,426,1894,1107,500,2665,66,1987-10-18
166,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-03-19
167,275,398,313,2443,1170,493,2915,66,1988-03-26
168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-03-28
169,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-04-04
170,390,522,433,2476,1352,533,2915,66,1988-04-11
171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-04-13
172,1520,1665,1570,2939,1681,1048,35,224,1988-04-27
173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-04-29
174,412,585,532,2753,1651,783,1975,66,1988-05-13
175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-05-15
176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-05-22
177,258,402,341,1691,704,214,1705,72,1988-05-29
178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-05-31
179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-06-07
180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-06-14
181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-06-16
182,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-06-22
183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-06-23
184,298,512,411,2769,1589,721,3125,66,1988-06-30
185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-07-02
186,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-07-09
187,288,526,392,2760,1533,627,3485,66,1988-07-16
188,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-07-25
189,370,617,557,2488,1498,654,2495,66,1988-08-01
190,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-08-03
191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-08-10
192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-08-19
193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-08-26
194,429,639,568,2050,1390,661,2365,66,1988-09-02
195,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-09-04
196,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-09-11
197,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-09-20
198,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-09-27
199,1260,1339,1394,2053,1900,1324,1285,96,1988-10-04
200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-10-06
201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-10-13
202,368,506,424,1521,1116,551,2195,66,1988-10-20
203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-10-22
204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-10-29
205,304,355,371,1152,944,475,2285,66,1988-11-05
206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-11-14
207,3486,3544,3588,4076,2335,1766,-1715,224,1988-11-21
208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-11-30
209,202,297,253,1053,631,376,1795,66,1988-12-07
210,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-12-09
211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-12-16
212,124,232,190,546,281,116,655,72,1988-12-23
213,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1988-12-25
214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-01-17
215,327,424,298,1199,869,358,945,66,1989-01-24
216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-01-26
217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-02-02
218,487,588,584,1711,1104,730,945,72,1989-02-25
219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-02-27
220,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-03-06
221,20000,5034,5201,6020,5869,4903,-75,224,1989-03-13
222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-03-15
223,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-03-22
224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-03-31
225,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-04-07
226,20000,20000,20000,8765,20000,4624,755,224,1989-04-14
227,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-04-16
228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-04-23
229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-05-02
230,365,510,463,2875,1283,520,2545,66,1989-05-16
231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-05-18
232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-05-25
233,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-05-26
234,311,486,413,3068,1454,580,3365,66,1989-06-01
235,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-06-03
236,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-06-10
237,234,379,323,3140,1340,516,2875,66,1989-06-17
238,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-06-19
239,228,451,328,3239,1447,587,2835,66,1989-07-03
240,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-07-05
241,358,526,447,3160,1501,687,3015,66,1989-07-11
242,251,471,399,3053,1365,569,2875,66,1989-07-19
243,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-07-21
244,259,441,346,2995,1437,656,3365,66,1989-07-27
245,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-07-28
246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-07-29
247,355,529,444,2859,1391,580,2875,66,1989-08-04
248,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-08-06
249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-08-13
250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-08-14
251,1134,1348,1383,2216,2046,1519,545,224,1989-08-20
252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-08-22
253,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-08-29
254,300,486,428,2646,1243,593,2495,66,1989-09-05
255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-09-07
256,334,520,418,2595,1132,472,2545,66,1989-09-21
257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-09-23
258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-09-30
259,380,493,382,2251,1121,551,2065,66,1989-10-07
260,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-10-16
261,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-10-23
262,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-10-25
263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-01
264,271,369,285,1943,759,423,1925,66,1989-11-08
265,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-09
266,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-10
267,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-17
268,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-18
269,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-11-26
270,571,619,551,1893,1014,497,1185,72,1989-12-02
271,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-12-03
272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-12-04
273,195,251,146,1372,513,184,1285,66,1989-12-10
274,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-12-12
275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-12-19
276,531,636,679,2022,1167,414,795,66,1989-12-26
277,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1989-12-28
278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-01-04
279,812,916,839,2189,938,555,945,72,1990-01-11
280,177,286,243,1516,736,296,995,66,1990-01-27
281,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-01-29
282,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-02-05
283,381,544,426,2333,968,373,1285,66,1990-02-12
284,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-02-14
285,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-02-21
286,20000,7533,7531,7409,6087,4631,395,224,1990-02-28
287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-03-02
288,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-03-09
289,3476,3658,3574,4165,2353,1780,-2665,224,1990-03-16
290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-03-18
291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-03-25
292,317,443,388,2543,1154,448,1885,66,1990-04-01
293,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-04-03
294,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-04-10
295,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-04-26
296,310,483,407,2697,1332,541,2795,66,1990-05-03
297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-05-05
298,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-05-12
299,20000,5698,5819,6279,5963,5188,-1215,224,1990-05-19
300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-05-21
301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-05-28
302,262,455,359,2939,1369,594,2495,66,1990-06-04
303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-06-06
304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-06-13
305,295,456,358,2870,1464,594,3605,66,1990-06-20
306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-06-22
307,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-06-30
308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-07-08
309,300,519,404,2420,1276,461,2795,72,1990-08-07
310,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-08-16
311,345,502,414,2574,1305,547,2915,66,1990-08-23
312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-08-25
313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-09-01
314,226,382,304,2232,1244,567,2495,66,1990-09-08
315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-09-10
316,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-09-17
317,3902,4068,4180,4465,4624,3879,945,224,1990-09-24
318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-10-03
319,237,365,341,1867,1099,572,3085,66,1990-10-10
320,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-10-12
321,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-10-19
322,295,381,305,1732,770,236,2415,66,1990-10-26
323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1990-10-28
324,1595,1933,1851,3744,3101,2375,605,224,1991-03-19
325,312,439,388,2488,1193,530,1705,66,1991-04-04
326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-04-06
